0,1,4,0,4,3
1,2,5,1,5,4
3,4,7,3,7,6
4,5,8,4,8,7

21,22,19,21,19,18
22,23,20,22,20,19
25,26,23,25,23,22
24,25,22,24,22,21

9,10,1,9,1,0
10,11,2,10,2,1
19,20,11,19,11,10
18,19,10,18,10,9

17,16,7,17,7,8
16,15,6,16,6,7
25,24,15,25,15,16
26,25,16,26,16,17

11,14,5,11,5,2
14,17,8,14,8,5
23,26,17,23,17,14
20,23,14,20,14,11

15,12,3,15,3,6
12,9,0,12,0,3
21,18,9,21,9,12
24,21,12,24,12,15


1,4,3,1,3,0
2,5,4,2,4,1
4,7,6,4,6,3
5,8,7,5,7,4
22,19,18,22,18,21
23,20,19,23,19,22
26,23,22,26,22,25
25,22,21,25,21,24
10,1,0,10,0,9
11,2,1,11,1,10
20,11,10,20,10,19
19,10,9,19,9,18
16,7,8,16,8,17
15,6,7,15,7,16
24,15,16,24,16,25
25,16,17,25,17,26
14,5,2,14,2,11
17,8,5,17,5,14
26,17,14,26,14,23
23,14,11,23,11,20
12,3,6,12,6,15
9,0,3,9,3,12
18,9,12,18,12,21
21,12,15,21,15,24

4,3,0,4,0,1
5,4,1,5,1,2
7,6,3,7,3,4
8,7,4,8,4,5
19,18,21,19,21,22
20,19,22,20,22,23
23,22,25,23,25,26
22,21,24,22,24,25
1,0,9,1,9,10
2,1,10,2,10,11
11,10,19,11,19,20
10,9,18,10,18,19
7,8,17,7,17,16
6,7,16,6,16,15
15,16,25,15,25,24
16,17,26,16,26,25
5,2,11,5,11,14
8,5,14,8,14,17
17,14,23,17,23,26
14,11,20,14,20,23
3,6,15,3,15,12
0,3,12,0,12,9
9,12,21,9,21,18
12,15,24,12,24,21

3,0,1,3,1,4
4,1,2,4,2,5
6,3,4,6,4,7
7,4,5,7,5,8
18,21,22,18,22,19
19,22,23,19,23,20
22,25,26,22,26,23
21,24,25,21,25,22
0,9,10,0,10,1
1,10,11,1,11,2
10,19,20,10,20,11
9,18,19,9,19,10
8,17,16,8,16,7
7,16,15,7,15,6
16,25,24,16,24,15
17,26,25,17,25,16
2,11,14,2,14,5
5,14,17,5,17,8
14,23,26,14,26,17
11,20,23,11,23,14
6,15,12,6,12,3
3,12,9,3,9,0
12,21,18,12,18,9
15,24,21,15,21,12
